,Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,1,5035,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:05:27 PM,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,Background information,,,,,,,,,,,,,,,,,,,,,,,,
4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,1,Jez US LUM 384 (cps),0,1420,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,A,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
10,B,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
11,C,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
12,D,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
13,E,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
14,F,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
15,G,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
16,H,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
17,I,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
18,J,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
19,K,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
20,L,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
21,M,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
22,N,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
23,O,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
24,P,0.55133339285,0.55133339285,,,,,,,,,,,,,,,,,,,,,0.55133339285,0.55133339285
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
28,1,1,5035,14.01,17.9,17.92,55.4,55.4,18.39,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:05:27 PM,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,Background information,,,,,,,,,,,,,,,,,,,,,,,,
31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
32,1,Jez US LUM 384 (cps),0,1420,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
36,A,0.11308297830319104,0.11057895776316903,0.12270406004006433,0.10853341985723557,0.13216290946026013,0.13309398188640917,0.12002370002539288,0.14092345456084418,0.10497136246931693,0.1137530683068589,0.1312106762971532,0.10018198233783822,0.12349406088649381,0.13247326693564315,0.12460852636627825,0.11971334255000987,0.12375504330897498,0.13797505854470557,0.11379538978077476,0.14108568687752165,0.11218012019298593,0.12172361256101345,0.765665998927856,0.6879990407132579
37,B,0.09112518691984313,0.13493496600174928,0.12122280845300906,0.10118359055384703,0.1057049346838586,0.11237762040459329,0.11656744632226392,0.10764466890500239,0.08944643512118049,0.10922467059786135,0.09343876082724374,0.10939395649352482,0.10098609034223965,0.10697457890133454,0.08670259289563524,0.10387100414750444,0.12630138532291285,0.12046807550150947,0.12535620573879186,0.13240273114578338,0.10320091414383659,0.11198261998137855,0.8830587139914793,0.7104435290466382
38,C,0.1182320909629546,0.13643032474677652,0.12264057782919054,0.12873487007307508,0.10350421804023362,0.1366842535902717,0.13182433766893323,0.0017563411675083937,0.10970431396890783,0.11864825212312727,0.09544197725926135,0.11254690630025675,0.11704003611432441,0.10702395395423638,0.12462263352425021,0.12737352932878143,0.11102333323928561,0.11288547809158367,0.08892447027621815,0.11275851366983608,0.10002680360014671,0.1216178088762238,0.9094320458200491,0.7446604407076151
39,D,0.12496120531557713,0.12857969133538358,0.15195525209491295,0.15440989758203313,0.13560505600541714,0.145994977851762,0.11869762717602912,0.11732217927376351,0.11009931439212256,0.12530683068589002,0.07505713398978642,0.11550940947436729,0.11676494653387129,0.12089129024066811,0.12809299438535113,0.11311119261913495,0.016561803459075135,0.12125807634793895,0.12879835228394887,0.10906243828118388,0.05034844680190729,0.11883869875574866,0.8119797985497842,0.7238100612250656
40,E,0.12836808396580424,0.14040148971588184,0.12446040120757272,0.17563411675083937,0.10498546962728889,0.12316254267415286,0.10952092091527241,0.11382360409671867,0.12426995457495132,0.13379228620602093,0.11650396411139012,0.13120362271816718,0.09627429957960669,0.11569280252800271,0.13661371780041193,0.11702592895635246,0.10636797110854047,0.12035521823773383,0.12316959625313885,0.13061112208334508,0.10665011426797957,0.13494907315972124,1.0,0.740900883108089
41,F,0.12673165364105748,0.14820274807437295,0.14789239059898993,0.16446124763705103,0.08468526930564568,0.1120602093502243,0.06580283836018395,0.1464605140648365,0.11133369071466863,0.12677397511497335,0.12699263606353864,0.1296729960782101,0.11002172502327681,0.10024546454871201,0.11045904692040741,0.11210253082414016,0.1255960274243151,0.13661371780041193,0.12802951217447733,0.12067262929210282,0.10183957339954293,0.11289253167056965,0.8292963349603589,0.7410913297407105
42,G,0.10326439635471038,0.11965691391812205,0.1311683548232373,0.13024433597607427,0.11524137347290014,0.12743701153965523,0.12686567164179105,0.1320782665124284,0.11327342493581243,0.11598199926642778,0.08718928984566769,0.11285726377563976,0.08575741331151426,0.10834297322461417,0.1009719831842677,0.09474367293964958,0.09798831927319922,0.09769912253477414,0.13482916231695963,0.12663290353525378,0.10888609880653444,0.10296814603729933,0.9356501989109274,0.7659975171401969
43,H,0.10716502553395593,0.11263860282707445,0.13566853821629093,0.13936461360494315,0.11787941201365573,0.11272324577490618,0.11316056767203679,0.12568067037214684,0.11656039274327794,0.10533109499760178,0.11471235504895184,0.00855599130999069,0.09389724346133228,0.1127161921959202,0.11549530231639533,0.12347995372852186,0.12309200688429309,0.13147165871963434,0.12196343424653669,0.10915413480800158,0.02823547668086787,0.11682842874474508,0.8894563101317609,0.7530259853849843
44,I,0.1081736873289507,0.12830460175493044,0.1380032728606495,0.17937956719239342,0.11975566402392573,0.12134977287475665,0.11081877944869227,0.1353088056880061,0.11155235166323392,0.11294896030245746,0.14353327878565583,0.13240978472476936,0.11141128008351438,0.10491493383742911,0.09825635527466636,0.12382557909883475,0.12946844228761673,0.1302302288181023,0.1175126259063849,0.12467200857715205,0.06554890951668876,0.1359930028496459,0.8432483141946223,0.7434472251220269
45,J,0.13137996219281664,0.12393843636261039,0.11328753209378438,0.1831814462658353,0.10004796433710465,0.12730299353892166,0.09272634934966002,0.14490167310893548,0.11792878706655757,0.12392432920463843,0.11664503569110966,0.11751967948537087,0.11048726123635133,0.08844482690517168,0.11709646474621223,0.13045594334565358,0.10250260982422481,0.12254182772338684,0.12309200688429309,0.11452896199531643,0.09202099145106227,0.1324238918827413,0.9548641480687301,0.7546483085517591
46,K,0.11916316338910363,0.11813334085715092,0.1310131760855458,0.1834283215303445,0.14035211466298,0.1295742459724064,0.09791778348333945,0.12443924047061479,0.11364726462206924,0.14351917162768388,0.14826623028524674,0.12561718816127304,0.11151708376830403,0.09611206726292922,0.14710238975256046,0.12477075868295573,0.13432130462996925,0.12989165702677538,0.1293485314448551,0.13497728747566515,0.10859690206810936,0.1287912987049629,0.8946689050023983,0.8271238326326779
47,L,0.11367547893801315,0.11179922692774313,0.10550038089326524,0.13376407189007702,0.08797929069209717,0.13126005135005503,0.1658860705922185,0.15383150410518298,0.12007307507829473,0.12719718985413198,0.13348898230962392,0.0030894675958581383,0.10109189402702931,0.12434754394379709,0.060738368648252127,0.1099935107073329,0.10430127246564908,0.12194227350957876,0.11749146516942696,0.12539147363372175,0.11538949863160568,0.12215388087915809,0.8825649634624608,0.7167564822390882
48,M,0.10746832943035296,0.11173574471686934,0.138786220128093,0.13504076968653894,0.12324013204299862,0.12501763394746496,0.09079366870750219,0.1068617216375589,0.1094292243884547,0.09118866913071692,0.08322517845554835,0.11883164517676269,0.09325536777360832,0.11633467821572666,0.08658268205287363,0.11114324408204723,0.11370369325395706,0.09562537031289677,0.10292582456338346,0.1151919984199983,0.12237959540670937,0.13353130378353978,0.7614338515362695,0.7334805180148407
49,N,0.11445137262647068,0.08948875659509635,0.11237056682560731,0.12986344271083147,0.11561521315915696,0.12592049205767006,0.13068871145219085,0.13616934232429534,0.12103236182038767,0.11166520892700957,0.12867138786220128,0.11051547555229524,0.09933555285952092,0.12304263183139125,0.11025449312981407,0.14926078492226955,0.12239370256468132,0.12587111700476822,0.12646361763959033,0.14632649606410292,0.09319188556273453,0.1112772620827808,0.7475806224078098,0.7100837965183534
50,O,0.1065795784781198,0.11926191349490732,0.14013345371441469,0.11075529723781848,0.11495923031346104,0.11993200349857518,0.13846175549473802,0.14066952571734898,0.11603137431932962,0.12520102700110036,0.09304376040402901,0.1131887819879807,0.11895155601952431,0.10595886352735379,0.12053861129136924,0.12855853059842565,0.10183957339954293,0.12864317354625737,0.12026352171091612,0.13827836244110261,0.11914905623113167,0.10368055751488305,0.8447507265186356,0.6738707220043451
51,P,0.09682447874051293,0.11871173433400108,0.12059503992325706,0.0,0.13691702169680897,0.1239948649944982,0.10941511723048275,0.11445842620545665,0.08617357447168693,0.10693931100640465,0.1141621758880456,0.13738255790988346,0.10526761278672798,0.111841548401659,0.09590751347233586,0.008083401517930197,0.10056992918206697,0.10631859605563863,0.12008718223626669,0.13214880230228818,0.07227097029032531,0.12144852298056033,0.7545142905510256,0.654769630110318
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
55,2,1,5036,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:07:02 PM,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,Background information,,,,,,,,,,,,,,,,,,,,,,,,
58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
59,2,Jez US LUM 384 (cps),0,512,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
63,A,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
64,B,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
65,C,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
66,D,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
67,E,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
68,F,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
69,G,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
70,H,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
71,I,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
72,J,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
73,K,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
74,L,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
75,M,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
76,N,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
77,O,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
78,P,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
82,2,1,5036,14.01,17.9,17.92,55.4,55.7,18.39,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:07:02 PM,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,Background information,,,,,,,,,,,,,,,,,,,,,,,,
85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
86,2,Jez US LUM 384 (cps),0,512,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
90,A,0.13870133092313963,0.16532865472203023,0.17161110815744235,0.1571322239353501,0.19937264075708439,0.17901890938735002,0.17888599429351196,0.1470927038474489,0.1187906498661988,0.19099898984528682,0.21034256650185196,0.19051163450121394,0.16541726478458893,0.09390894429971468,0.181960763464299,0.16720718804827475,0.14705725982242543,0.19243447285873783,0.17676821379835894,0.19270030304641395,0.14395590763287078,0.1811544118950148,0.881767593527921,0.6935952646782568
91,B,0.16358303648962377,0.163086820139295,0.1694667446435217,0.18162404522657594,0.20126003508958476,0.19467630744147305,0.18122529994506176,0.22077197086501144,0.15504102645896467,0.19369273574707144,0.19286866216527548,0.19719283321814024,0.13270242968791535,0.09169369273574707,0.22028461552093856,0.17046803835043509,0.1659046201286618,0.18467223137859534,0.1676502383610683,0.16852747798039946,0.16188172328849665,0.15801832456093715,0.8579314866996296,0.7560387757633756
92,C,0.11824126747833484,0.19165470430822124,0.21122866712743898,0.18111896786999132,0.18305952824002694,0.2115565243589062,0.20360820174739044,0.19557126907331596,0.085065660056356,0.20809187091286085,0.17687454587342938,0.18129618799510872,0.009011643362220214,0.12955677246708136,0.16862494904921402,0.13197582717493397,0.19710422315558154,0.1713009729384869,0.1548549453275914,0.1532954082265582,0.152489056657274,0.19371045775958318,0.9698371347050171,0.7850674322576072
93,D,0.14516986548992503,0.1596841937370408,0.18151771315150547,0.17826572385560105,0.19638648164885605,0.1811544118950148,0.20154358728977262,0.2306962978715863,0.1876849735055913,0.18653304269232815,0.2001435483013451,0.20112711999574673,0.20498165771705035,0.13189607811863116,0.19963847094476048,0.18833182696226983,0.15093838056249667,0.1571056409165825,0.1701667641377355,0.18354688358409982,0.15921456040547965,0.1513548478565226,0.9552962234391338,0.7976057561096638
94,E,0.16232477360129016,0.1616867811508675,0.1743314370779946,0.186541903698584,0.1901040282134439,0.18264306094600102,0.1980789338437273,0.2062576426178957,0.18079997164477998,0.0039165647650947245,0.16951104967480107,0.20327148350966737,0.18161518422032005,0.09625711095752033,0.1924433338649937,0.20651461179931593,0.12866181083523845,0.19161926028319776,0.1129512467435802,0.18553174898541477,0.18104807981994436,0.17277189997696138,0.9294043631594804,0.7983323586226452
95,F,0.14801424849805944,0.16315770818934197,0.18674570684246902,0.16226274655749906,0.18978503198823257,0.018173923830790223,0.20042710050153295,0.1850178106225743,0.13210874226877203,0.16810214968011766,0.17276303897070552,0.17885055026848848,0.05865986141386216,0.15670689563506832,0.17975437290658727,0.19962074893224874,0.13323409006326759,0.17218707356407392,0.12058057312988463,0.15849681889875414,0.13703546174703599,0.16874014213054034,1.0,0.7857851737643327
96,G,0.13606961206514612,0.17309089620217272,0.17574919807893385,0.15259538873234443,0.1485370478671558,0.21199957467169972,0.17514664965353466,0.0,0.14882060006734366,0.06449926453648076,0.17442004714055329,0.17567831002888687,0.14061530827440763,0.16290073900792174,0.17973665089407553,0.18147340812022614,0.15399542772077196,0.14221028940046432,0.1717528842575363,0.15691069877895333,0.1511687667251493,0.14720789692877523,0.9873110390415936,0.7983678026476687
97,H,0.13491768125188297,0.1739326917964804,0.1762719974480302,0.1815974622078083,0.14150140889999469,0.19799918478742445,0.1754922288975136,0.020495507469828273,0.1615361440445177,0.16865153206798164,0.10102433232317862,0.010234462225530332,0.1352632604958619,0.15646764846615982,0.19192939550215324,0.1592322824179914,0.1417672390876708,0.16547043082212415,0.17064525847555248,0.09754195686462154,0.14183812713771776,0.18841157601857267,0.9148280078685735,0.7947879561202971
98,I,0.11841848760345225,0.14223687241923194,0.17770748046148122,0.19036099739486417,0.13576833785244652,0.17358711255250145,0.1703705672816205,0.16376025661474117,0.14462934410831693,0.19160153827068602,0.17578464210395733,0.1741187729278537,0.17931132259379376,0.2107767558083896,0.16710085597320432,0.18164176723908768,0.15852340191752176,0.13273787371293885,0.1617488081946586,0.15248019565101814,0.17512006663476704,0.1526396937636238,0.9533822460878657,0.7833927020752477
99,J,0.1463483793219558,0.1718060502950715,0.1327467347191947,0.16417672390876709,0.14649015542204974,0.15621954029099544,0.20363478476615804,0.18964325588813866,0.1678008754674181,0.15131054282524323,0.18548744395413544,0.15727400003544403,0.17596186222907473,0.16871355911177274,0.20935013380119447,0.22739114253814663,0.1453559466212983,0.16266149183901324,0.18179240434543747,0.16048168430006912,0.14190015418150886,0.15707905789781487,0.916777429244865,0.8054743296648768
100,K,0.138470944760487,0.15022950006202704,0.15115990571889343,0.18171265528913463,0.15966647172452902,0.19582823825473622,0.19128254204547468,0.17781381253655165,0.17152249809488365,0.15751324720435253,0.21171602247151186,0.20642600173675724,0.15909050631789745,0.19847767912524147,0.20972229606394102,0.19114076594538076,0.17853155404327714,0.16061459939390718,0.10061672603540858,0.1532954082265582,0.15823098871107802,0.16526662767823913,0.9555443316142981,0.7854838995516331
101,L,0.1494320094989987,0.19650167473018235,0.16982118489375653,0.17508462260974356,0.17985184397540185,0.18965211689439454,0.15451822708986832,0.20989951618905842,0.20199549860882202,0.1844772892409662,0.03534655395466709,0.19713080617434917,0.14410654473922058,0.18834954897478157,0.20596522941145196,0.18655962571109574,0.1435394403388449,0.17873535718716219,0.16454888617151364,0.1780973647367395,0.17086678363194924,0.16461091321530474,0.8597214099633155,0.7883282825597675
102,M,0.1495826466053485,0.1813050490013646,0.19000655714462936,0.16979460187498893,0.0977368990022507,0.01422191504067202,0.1284668686976093,0.17457954525315894,0.17772520247399295,0.16214755347617277,0.17187693834511847,0.17658213266698566,0.1819341804455314,0.19530543888563986,0.1655767628971946,0.170131320112712,0.17044145533166746,0.17089336665071686,0.16207666542612578,0.15366757048930477,0.12584401084587166,0.1550676094777323,0.9687295089230333,0.7773317737962323
